Title,Authors,Year,Journal,DOI,Source
Positron annihilation Doppler broadening measurement for bulk amorphous alloy by using high energy positron generated from LCS gamma-ray at NEW SUBARU,"F. Hori, Y. Ueno, K. Ishii, T. Ishiyama, A. Iwase, S. Miyamoto, T. Terasawa",2016,Journal of Physics: Conference Series,10.1088/1742-6596/674/1/012025,CrossRef
Gamma Glutamyl Transpeptidase Measurement,,2020,Definitions,10.32388/25cgxx,CrossRef
Optical fibres,,,,10.3403/30240041,CrossRef
Propagation of uncertainty in modular measurement systems,B. Hall,2005,Proceedings of the 2005 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2005.1594608,CrossRef
The evaluation of measurement uncertainty from method validation studies,"Vicki J. Barwick, Stephen L. R. Ellison",2000,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_33,CrossRef
Optical fibres,,,,10.3403/30353651,CrossRef
Measurement uncertainty and its meaning in legal metrology of environmental chemistry and public health,Mirella Buzoianu,1998,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_39,CrossRef
Accounting Measurement Uncertainty in Fuzzy Inference,"Alessandro Ferrero, Simona Salicone, Grazia Todeschini",2007,2007 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2007.4362574,CrossRef
Optical fibres,,,,10.3403/02935552u,CrossRef
Measurement near a limit – an insoluble problem?,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.019,CrossRef
An Introduction to Uncertainty in Measurement,"L. Kirkup, R. B. Frenkel",2006,,10.1017/cbo9780511755538,CrossRef
Evaluation of measurement uncertainty for analytical procedures using a linear calibration function,"Lutz Brüggemann, Rainer Wennrich",2002,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_8,CrossRef
"Self-, N2- and Ar-broadening and line mixing in HCN and C2H2",A.S. Pine,1993,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(93)90114-w,CrossRef
Optical fibres. Measurement methods and test procedures,,,,10.3403/02935552,CrossRef
Radiation protection instrumentation - Determination of uncertainty in measurement,,,,10.3403/30386313u,CrossRef
Evaluation of measurement uncertainty with the principles of entropy optimization,Andrea Zanobini,2008,2008 IEEE Iinternational Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2008.4589925,CrossRef
Prelims and preface,,,Evaluating the Measurement Uncertainty,10.1887/0750308400/b1099f1,CrossRef
Sampling a Gaussian distribution,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.011,CrossRef
Radiation protection instrumentation - Determination of uncertainty in measurement,,,,10.3403/30386313,CrossRef
Evaluating the Measurement Uncertainty,I Lira,2002,,10.1201/9780367801564,CrossRef
References,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.028,CrossRef
N2 Broadening of Carbon Disulfide 12C32S2 in the ν3 and ν3–ν1 Bands,"Ghislain Blanquet, Jacques Walrand, Jean-Pierre Bouanich",1999,Journal of Molecular Spectroscopy,10.1006/jmsp.1999.7978,CrossRef
"Nonpolynomial Representation of N2-, O2-, Air-, and Self-Broadening Coefficients of Ozone Lines","V. I. Starikov, S. N. Mikhailenko",2021,Atmospheric and Oceanic Optics,10.1134/s1024856021040114,CrossRef
"Collision broadening and shift of the sodium 3S-4D and 3S-5S lines by He, Ar and N2","D.M. Bruce, M.Y. Mirza, W.W. Duley",1978,Optics Communications,10.1016/0030-4018(78)90177-3,CrossRef
Addressing the uncertainty of a single measurement,Swanand Rishi,2024,A Practical Handbook on Measurement Uncertainty,10.1088/978-0-7503-6462-1ch21,CrossRef
Diode–Laser Measurements of N2-Broadening Coefficients in the ν7 Band of C2H4,"Ghislain Blanquet, Jacques Walrand, Jean-Pierre Bouanich",2000,Journal of Molecular Spectroscopy,10.1006/jmsp.2000.8056,CrossRef
Semiclassical calculations of collision line broadening in Raman spectra of N2 and CO mixtures,"Mikael Afzelius, Per-Erik Bengtsson, Jeanine Bonamy",2004,The Journal of Chemical Physics,10.1063/1.1689957,CrossRef
"N2, O2, and Air Broadening of NH3 in ν2 Band Measured by FTIR Spectroscopy","M. Fabian, F. Ito, K.M.T. Yamada",1995,Journal of Molecular Spectroscopy,10.1006/jmsp.1995.1260,CrossRef
Investigating people's uncertainty without changing it: non-numeric measurement and conceptualization of psychological uncertainty,Paul D. Windschitl,,,10.31274/rtd-180813-10528,CrossRef
On Broadening Failure Rate Distributions in PRA Uncertainty Analyses,Harry F. Martz,1984,Risk Analysis,10.1111/j.1539-6924.1984.tb00128.x,CrossRef
"Forensic Measurements, Metrology, and Uncertainty",,2016,Measurement Uncertainty in Forensic Science,10.1201/9781315400907-10,CrossRef
Calibration uncertainty,"Kaj Heydorn, Thomas Anglov",2002,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_12,CrossRef
Measurement of radioactivity in the environment � Soil,,,,10.3403/30047014u,CrossRef
N2- and O2-broadening of CO2 for the (3001)III←(0000) band at 6231cm−1,"Toshihide Hikida, Koichi M.T. Yamada",2006,Journal of Molecular Spectroscopy,10.1016/j.jms.2006.07.001,CrossRef
Measurement of radioactivity in the environment � Soil,,,,10.3403/30453013,CrossRef
Theoretical Foundations of Gamma–Gamma Method of Detection of Explosives,"M. V. Alekseev, V. M. Kirillov",2003,Measurement Techniques,10.1023/a:1025807422084,CrossRef
From total allowable error via metrological traceability to uncertainty of measurement of the unbiased result,René Dybkaer,1999,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_4,CrossRef
FTIR Measurements of N2-Induced Pressure Broadening of Allene (C3H4) in the ν10 Band,"W.F. Wang, J.M. Sirota, D.C. Reuter",1999,Journal of Molecular Spectroscopy,10.1006/jmsp.1999.7977,CrossRef
Measurement uncertainty and optimized conformance assessment,Alistair B. Forbes,2006,Measurement,10.1016/j.measurement.2006.04.007,CrossRef
Quantifying uncertainty in railway noise measurement,"Bulent Tutmez, Andrei Baranovskii",2019,Measurement,10.1016/j.measurement.2019.01.024,CrossRef
Errors vs uncertainty vs measurement uncertainty,"Kim Esbensen, Francis Pitard",2022,Spectroscopy Europe,10.1255/sew.2022.a22,CrossRef
Quantifying the Measurement Uncertainty Using Bayesian Inference,"A. Zanobini, L. Ciani, G. Pellegrini",2007,2007 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2007.4362560,CrossRef
Introduction to Measurement Uncertainty,"Bruno Wampfler, Samuel Affolter, Axel Ritter, Manfred Schmid",2022,Measurement Uncertainty in Analysis of Plastics,10.1007/978-1-56990-813-6_1,CrossRef
Modeling and measurement of N2 arcjet performance,"D. KING, G. BUTLER",1990,21st International Electric Propulsion Conference,10.2514/6.1990-2616,CrossRef
Measurement of QCD Jet Broadening in $p\bar{p}$ Collisions at $s^{1/2}$ = 1.8-TeV,Brenna Lynn Flaugher,1989,,10.2172/1156312,CrossRef
Uncertainty in Acoustic Measurements,Robert Peters,2020,Uncertainty in Acoustics,10.1201/9780429470622-2,CrossRef
Digital representation of measurement uncertainty,"B.D. Hall, D.R. White",2021,Measurement: Sensors,10.1016/j.measen.2021.100074,CrossRef
Uncertainty evaluation of speech quality measurement in VoIP systems,"Pietro Paglierani, Dario Petri",2007,2007 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2007.4362580,CrossRef
Temperature dependence of pressure broadening of NH3 perturbed by H2 and N2,"S. Nouri, J. Orphal, H. Aroui, J.-M. Hartmann",2004,Journal of Molecular Spectroscopy,10.1016/j.jms.2004.05.009,CrossRef
Measurement uncertainty,"Alan S. Morris, Reza Langari",2021,Measurement and Instrumentation,10.1016/b978-0-12-817141-7.00003-7,CrossRef
Pressure broadening of the lowest rotational transition of by N2 and O2,"L Zu, P.A Hamilton, K.V Chance, P.B Davies",2003,Journal of Molecular Spectroscopy,10.1016/s0022-2852(03)00096-1,CrossRef
"Pressure broadening of the N2O J = 9 ← 8 rotational transition by N2O, N2, and O2","J.M. Colmont, N. Semmoud-Monnanteuil",1987,Journal of Molecular Spectroscopy,10.1016/0022-2852(87)90095-6,CrossRef
Relational measurements and uncertainty,Ken Krechmer,2016,Measurement,10.1016/j.measurement.2016.06.058,CrossRef
Measurement Uncertainty,"Alan S. Morris, Reza Langari",2016,Measurement and Instrumentation,10.1016/b978-0-12-800884-3.00003-4,CrossRef
Measurement Uncertainty,"Alan S. Morris, Reza Langari",2012,Measurement and Instrumentation,10.1016/b978-0-12-381960-4.00003-6,CrossRef
Measurement Uncertainty,Frank E. Jones,2020,Techniques and Topics in FLOW MEASUREMENT,10.1201/9781003067818-7,CrossRef
The measurement of gamma ray induced heating in a mixed neutron and gamma ray environment,H Chiu,1991,,10.2172/10112820,CrossRef
ESTIMATION OF UNCERTAINTY MEASUREMENT FOR ALPHA/GAMMA-RELATIONSHIP OF SCINTILLATORS,"Б. В. Гриньов, Л. Л. Ващенко, Н. Р. Гурджян, О. В. Зеленська, В. Р. Любинський, Л. Й. Міцай, В. О. Тарасов",2020,Ukrainian Metrological Journal,10.24027/2306-7039.3a.2020.220055,CrossRef
The measurement of gamma ray induced heating in a mixed neutron and gamma ray environment,H Chiu,1991,,10.2172/6133333,CrossRef
Broadening of lines from N+ excited by H3+ bombardment of N2,"S. Bashkin, E. Träbert, P.-C. Lin, D.G. Jenkins, K. Wells",1989,Chemical Physics Letters,10.1016/0009-2614(89)85158-9,CrossRef
Measurement Uncertainty,David Clippinger,2013,Handbook of Measurement in Science and Engineering,10.1002/9781118436707.hmse052,CrossRef
Further discussion following from the Welch–Satterthwaite formula,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.016,CrossRef
Estimating measurement uncertainty: reconciliation using a cause and effect approach,"S. L. R. Ellison, V. J. Barwick",1998,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_21,CrossRef
Diode-Laser Measurements of N2-Broadening Coefficients in the ν2and ν5Bands of12CH3F,"Muriel Lepère, Ghislain Blanquet, Jacques Walrand, Jean-Pierre Bouanich",1997,Journal of Molecular Spectroscopy,10.1006/jmsp.1996.7164,CrossRef
N2 and H2 broadening parameters in the fundamental band of CO,"M.F.Le Moal, F. Severin",1986,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(86)90111-1,CrossRef
Measurement of $\sigma\cdot$Br($W + \gamma$) and $\sigma\cdot$BR($Z + \gamma$) and Search for Anomalous $W$ ($\gamma$) and $Z$ ($\gamma$) Couplings at $\sqrt{s}$ = 1.8-TeV,Mark Frank Vondracek,1994,,10.2172/1372380,CrossRef
Calculations of measurement uncertainty in complex-valued quantities involving 'uncertainty in the uncertainty',B.D. Hall,,"64th ARFTG Microwave Measurements Conference, Fall 2004.",10.1109/arftgf.2004.1427565,CrossRef
MEASUREMENT OF GAMMA-RAY DOSE RATE USING SMARTPHONES,", Sandy Tith",,,10.58837/chula.the.2015.1539,CrossRef
Calculation spreadsheet for uncertainty estimation of measurement results in gamma-ray spectrometry and its validation for quality assurance purpose,"Alessia Ceccatelli, Ashild Dybdal, Ales Fajgelj, Aurelien Pitois",2017,Applied Radiation and Isotopes,10.1016/j.apradiso.2017.03.002,CrossRef
Introduction to Measurement Uncertainty,"Bruno Wampfler, Samuel Affolter, Axel Ritter, Manfred Schmid",2022,Measurement Uncertainty in Analysis of Plastics,10.3139/9781569908136.001,CrossRef
Estimating Measurement Uncertainty of Traffic Monitoring Systems,"Giuseppe di Leo, Antonio Pietrosanto, Paolo Sommella",2007,2007 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2007.4362587,CrossRef
Serum Gamma Glutamyl Transpeptidase Measurement,,2020,Definitions,10.32388/9o5cng,CrossRef
Road map for measurement uncertainty evaluation,"Michèle Désenfant, Marc Priel",2006,Measurement,10.1016/j.measurement.2006.04.008,CrossRef
Propagation of uncertainty: Expressions of second and third order uncertainty with third and fourth moments,"S. Mekid, D. Vaja",2008,Measurement,10.1016/j.measurement.2007.07.004,CrossRef
6 Uncertainty and Weighing,,2016,Measurement Uncertainty in Forensic Science,10.1201/9781315400907-7,CrossRef
Temperature-dependence exponents for CH3I-N2 line-broadening coefficients,"A. Dudaryonok, J. Buldyreva, N. Lavrentieva, L. Troitsyna",2022,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2021.107956,CrossRef
Uncertainty in International Acoustics Standards,Douglas Manvell,2020,Uncertainty in Acoustics,10.1201/9780429470622-14,CrossRef
2 Sources of Uncertainty,,2016,Measurement Uncertainty in Forensic Science,10.1201/9781315400907-3,CrossRef
Expanding needs for metrological traceability and measurement uncertainty,H. Imai,2013,Measurement,10.1016/j.measurement.2013.04.046,CrossRef
Evaluating the Measurement Uncertainty,Ignacio Lira,2002,,10.1887/0750308400,CrossRef
Measurement uncertainty of generalized stiffness of machine tools,"Paweł Majda, Joanna Jastrzębska",2021,Measurement,10.1016/j.measurement.2020.108692,CrossRef
AMUEM 2008 &amp;#x2014; IEEE workshop on advanced methods for uncertainty estimation measurement proceedings,,2008,2008 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2008.4589921,CrossRef
Automated liquid handling systems � Uncertainty of the measurement procedures,,,,10.3403/30463958u,CrossRef
Measurement Uncertainty in Forensic Science,Suzanne Bell,2016,,10.1201/9781315400907,CrossRef
Automated liquid handling systems � Uncertainty of the measurement procedures,,,,10.3403/30463958,CrossRef
Measurement Uncertainty in Decision-Making,"Claudio De Capua, Rosario Morello, Rosario Carbone",2013,Advanced Instrument Engineering,10.4018/978-1-4666-4165-5.ch015,CrossRef
"Measurement, Uncertainty and Lasers",Masatoshi Kajita,2019,,10.1088/2053-2563/ab0373,CrossRef
Measurement Uncertainty,,,Field Guide to Displacement Measuring Interferometry,10.1117/3.1002328.ch88,CrossRef
Evaluation of the Measurement Uncertainty,"Bruno Wampfler, Samuel Affolter, Axel Ritter, Manfred Schmid",2022,Measurement Uncertainty in Analysis of Plastics,10.1007/978-1-56990-813-6_2,CrossRef
Other philosophies,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.016,CrossRef
"Accurate measurement of O2, N2, and Ar gases in water and the solubility of N2","Steven Emerson, Charles Stump, David Wilbur, Paul Quay",1999,Marine Chemistry,10.1016/s0304-4203(98)00090-5,CrossRef
NMR and the uncertainty principle: How to and how not to interpret homogeneous line broadening and pulse nonselectivity. III. Uncertainty?,Csaba Szántay,2008,Concepts in Magnetic Resonance Part A,10.1002/cmr.a.20116,CrossRef
Basic concepts and definations,,,Evaluating the Measurement Uncertainty,10.1887/0750308400/b1099c2,CrossRef
Uncertainty in Room Acoustics Measurements,Adrian James,2020,Uncertainty in Acoustics,10.1201/9780429470622-6,CrossRef
Life uncertainty broadening in photoinduced electron transfer,"H. Staerk, R. Treichel, A. Weller",1983,Chemical Physics Letters,10.1016/0009-2614(83)80110-9,CrossRef
Copyright statement [2007 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement],,2007,2007 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2007.4362554,CrossRef
Knowledge Measurement Approaches,Kerstin Fink,2004,Knowledge Potential Measurement and Uncertainty,10.1007/978-3-322-81240-7_2,CrossRef
Measurement uncertainty of radiated emissions,D A Hill,1997,,10.6028/nist.tn.1389,CrossRef
Final preparation,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.009,CrossRef
6 Measurement uncertainty concepts,,2024,Measurement Uncertainties,10.1515/9783111453712-006,CrossRef
Vibrational line broadening in the solid system N2-Kr: A molecular dynamics study,"Heidi T. Lotz, Jan P. J. Michels, Jan A. Schouten",2002,The Journal of Chemical Physics,10.1063/1.1477189,CrossRef
Temperature dependence for self- and N2-broadening coefficients of CH3Cl,"C. Bray, D. Jacquemart, N. Lacome",2013,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2013.06.013,CrossRef
Think Alouds: Informing Scholarship and Broadening Partnerships through Assessment,Jonathan David Bostic,2021,Applied Measurement in Education,10.1080/08957347.2020.1835914,CrossRef
Introduction,Robin Willink,,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.001,CrossRef
Diode-laser spectroscopy: Pressure dependence of N2-broadening coefficients of lines in the band of C2H2,"Laurent Fissiaux, Miguël Dhyne, Muriel Lepère",2009,Journal of Molecular Spectroscopy,10.1016/j.jms.2008.12.003,CrossRef
Fine Structure of a Gamma Burst and Search for Gamma-Gravitational Correlation,"A. V. Gusev, V. N. Rudenko",2001,Measurement Techniques,10.1023/a:1012352216451,CrossRef
On uncertainty in mass measurement,Janet R Donaldson,1973,,10.6028/nbs.ir.73-151,CrossRef
An Effective Method to Handle Measurement Uncertainty in Conformance Testing Procedures,"D. Macii, D. Petri",2007,2007 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2007.4362573,CrossRef
Stark broadening using crossed Gaussian beams in stimulated Raman spectroscopy of N2,"G.C. Herring, M.E. Hillard",1997,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/s0022-4073(97)00030-7,CrossRef
Implementing measurement uncertainty for analytical chemistry: the<i>Eurachem Guide</i>for measurement uncertainty,Stephen L R Ellison,2014,Metrologia,10.1088/0026-1394/51/4/s199,CrossRef
Measurement uncertainty — a reliable concept in food analysis and for the use of recovery data?,"Paul Willetts, Roger Wood",1998,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_43,CrossRef
The principle of possibility maximum specificity as a basis for measurement uncertainty expression,Gilles Mauris,2009,2009 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2009.5207599,CrossRef
Guide to the expression of uncertainty in measurement — Part 6: Developing and using  measurement models,,2020,,10.59161/jcgmgum-6-2020,CrossRef
Measurement of fluid flow: assessment of uncertainty in the calibration and use of flow measurement devices,,,,10.3403/bs7118,CrossRef
Measurement Uncertainty,"Frank E. Jones, Randall M. Schoonover",2002,Handbook of Mass Measurement,10.1201/9781420038453-7,CrossRef
Uncertainty of quantile estimates in the measurement of self-similar processes,"G. Giorgi, C. Narduzzi",2008,2008 IEEE Iinternational Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2008.4589939,CrossRef
Theoretical calculation of CH3F/N2-broadening coefficients and their temperature dependence,"C. Jellali, N. Maaroufi, H. Aroui",2018,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2018.03.018,CrossRef
Prediction of structural high-frequency vibration with considering uncertainty in measurement,Haiyang Song,2023,Measurement,10.1016/j.measurement.2023.113751,CrossRef
Uncertainty in optical measurement applications: a case study,"M. Brandner, T. Thurner",2005,Proceedings of the 2005 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2005.1594610,CrossRef
Measurement uncertainty issues in freeze-drying processes,"Alessio Carullo, Alberto Vallan",2012,Measurement,10.1016/j.measurement.2012.04.017,CrossRef
N2-Broadening for Methyl Chloride at Low Temperature by Diode-Laser Spectroscopy,"Jean-Pierre Bouanich, Ghislain Blanquet, Jean-Claude Populaire, Jacques Walrand",2001,Journal of Molecular Spectroscopy,10.1006/jmsp.2001.8358,CrossRef
Improvement of the measurement uncertainty of a high accuracy single sinker densimeter via setup modifications based on a state point uncertainty analysis,"M.E. Mondéjar, J.J. Segovia, C.R. Chamorro",2011,Measurement,10.1016/j.measurement.2011.07.012,CrossRef
Reference and additional methods for measurement uncertainty evaluation,"Michèle Désenfant, Marc Priel",2017,Measurement,10.1016/j.measurement.2016.10.022,CrossRef
Uncertainty assessments based on observation and measurement equations,Gregory A. Kyriazis,2021,Measurement: Sensors,10.1016/j.measen.2021.100075,CrossRef
Understanding Measurement Uncertainty: An Introduction,John Hurll,2008,Measurement and Control,10.1177/002029400804100203,CrossRef
A computational system for uncertainty propagation of measurement results,Luca Mari,2009,Measurement,10.1016/j.measurement.2009.01.011,CrossRef
Evaluation of the Measurement Uncertainty,"Bruno Wampfler, Samuel Affolter, Axel Ritter, Manfred Schmid",2022,Measurement Uncertainty in Analysis of Plastics,10.3139/9781569908136.002,CrossRef
Uncertainty as a Determinant of Performance Measurement and Compensation Systems,"Margaret Abernethy, Julia Mundy",,Management Control and Uncertainty,10.1057/9781137392121.0014,CrossRef
N2- and O2-broadening coefficients and profiles for millimeter lines of 14N2O,"F Rohart, J.-M Colmont, G Wlodarczak, J.-P Bouanich",2003,Journal of Molecular Spectroscopy,10.1016/s0022-2852(03)00220-0,CrossRef
Measurement of vibrational relaxation times by the spectrophone. Systems CO2+N2 and N2O+N2,"T. L. Cottrell, I. M. Macfarlane, A. W. Read",1967,Transactions of the Faraday Society,10.1039/tf9676302093,CrossRef
Immunoglobulin Heavy Constant Gamma 4 Measurement,,2020,Definitions,10.32388/0no9vk,CrossRef
An enhanced method for the evaluation of measurement uncertainty,R. Willink,2022,Measurement: Sensors,10.1016/j.measen.2022.100373,CrossRef
Uncertainty of sampling in chemical analysis,Michael Thompson,1998,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_29,CrossRef
Macrophage Inflammatory Protein 1 Gamma Measurement,,2020,Definitions,10.32388/mykc7m,CrossRef
Bandwidth Broadening Method Study on Microstrip Antenna,,2011,"International Conference on Instrumentation, Measurement, Circuits and Systems (ICIMCS 2011)",10.1115/1.859902.paper168,CrossRef
Standard uncertainty in each measurement result explicit or implicit,Zdenko Godec,1997,Measurement,10.1016/s0263-2241(97)00020-1,CrossRef
Temperature dependence of self- and N2-broadening coefficients of CH3Br ν6 band,"D. Jacquemart, H. Tran",2008,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2007.08.010,CrossRef
Evaluation of soil moisture measurement using gamma ray spectroscopy,,1977,,10.2172/7208264,CrossRef
Broadening the understanding and measurement of urban poverty,,2012,Urban Poverty in the Global South,10.4324/9780203104316-13,CrossRef
Air quality. Evaluation of the suitability of a measurement procedure by comparison with a required measurement uncertainty,,,,10.3403/02672603u,CrossRef
Savannah River Site experimental measurements uncertainty analysis three-beam gamma densitometer system,"L. Meyer, R. Averill",1990,,10.2172/6908989,CrossRef
Figure 5: The measurement of ${\gamma _X}(T)$ favours shorter periodicity.,,,,10.7717/peerj-cs.1851/fig-5,CrossRef
IN-SITU SEDIMENT COMPOSITION MEASUREMENT USING SCATTERED GAMMA-RADIATION,", LEO MAUS",,,10.23860/diss-2730,CrossRef
On the Combination of Delayed Neutron and Delayed Gamma Measurement Techniques for Nuclear Fuel and Its Application to Nuclear Data Uncertainty Reduction,"G. Perret, K. A. Jordan",2012,IEEE Transactions on Nuclear Science,10.1109/tns.2012.2215339,CrossRef
Stark broadening and stimulated Raman pumping in high-resolution N2 coherent anti-stokes Raman scattering spectra,"M. A. Woodmansee, R. P. Lucht, J. C. Dutton",2002,AIAA Journal,10.2514/3.15166,CrossRef
Measurement Uncertainty in Analysis of Plastics,"Bruno Wampfler, Samuel Affolter, Axel Ritter, Manfred Schmid",2022,Measurement Uncertainty in Analysis of Plastics,10.3139/9781569908136.fm,CrossRef
Method Validation and Measurement Uncertainty Evaluation of the Radiochemical Procedure for the Determination of 231Pa in Siliceous Cake by Gamma Spectrometry,"Aditi Dalvi, P.S Remya Devi, Kallola K. Swain",2022,Analytical Chemistry Letters,10.1080/22297928.2022.2049869,CrossRef
"16O18O16O N2-, O2-, Air-Pressure Broadening Coefficients γ0 for the Submillimeter Wave Transition at 647.691 GHz","Guy Guelachvili, Nathalie Picqué",2019,Molecular Constants Mostly from Infrared Spectroscopy,10.1007/978-3-662-57960-2_229,CrossRef
Measurement uncertainty evaluation of ultrasonic wall thickness measurement,"Morana Mihaljević, Damir Markučič, Biserka Runje, Zdenka Keran",2019,Measurement,10.1016/j.measurement.2019.01.027,CrossRef
QSPR prediction of the solubility of CO2 and N2 in common polymers,"Karim Golzar, Sepideh Amjad-Iranagh, Hamid Modarress",2013,Measurement,10.1016/j.measurement.2013.08.012,CrossRef
Revolution of measurement uncertainties due to the introduction of lasers,Masatoshi Kajita,2019,"Measurement, Uncertainty and Lasers",10.1088/2053-2563/ab0373ch5,CrossRef
"Spectral Line-Intensity, Collision Broadening and Shift in the Ν1+2ν2+Ν3 Band of Co2 Transitions Perturbed by H2, N2, Ar, O2, Air, and Co2","Wei Nie, Zhongzheng Zhou, Zhenyu Xu, Rantong Niu, Yuzhou Ran, Ruifeng Kan",,,10.2139/ssrn.4893256,CrossRef
Immunoglobulin Heavy Constant Gamma 2 Measurement,,2020,Definitions,10.32388/rrabzu,CrossRef
Measurement Uncertainty: Error Propagation Formula,Ilya Gertsbakh,2003,Measurement Theory for Engineers,10.1007/978-3-662-08583-7_5,CrossRef
A polynomial chaos approach to measurement uncertainty,"T. Lovett, F. Ponci, A. Monti",2005,Proceedings of the 2005 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2005.1594600,CrossRef
Measurement uncertainty and its implications for collaborative study method validation and method performance parameters,"Stephen L. R. Ellison, Alex Williams",2003,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_22,CrossRef
Air quality. Evaluation of the suitability of a measurement procedure by comparison with a required measurement uncertainty,,,,10.3403/02672603,CrossRef
Measurement Uncertainty,,2007,Springer Series in Reliability Engineering,10.1007/978-0-387-46328-5,CrossRef
Medical laboratories � Practical guidance for the estimation of measurement uncertainty,,,,10.3403/30381286u,CrossRef
Uncertainty evaluation for an ultrasonic data fusion based target differentiation problem using Generalized Aggregated Uncertainty measure 2,"M. Khodabandeh, A. Mohammad-Shahri",2015,Measurement,10.1016/j.measurement.2014.09.036,CrossRef
Measurement uncertainty considerations for coordinate measuring machines,G Caskey,1993,,10.6028/nist.ir.5170,CrossRef
Measurement uncertainty of silicone oil leakage testing,W.E. Holland,1991,,10.2172/5988474,CrossRef
Autonomous navigation: on issues concerning measurement uncertainty,John Stephen Mullane,,,10.32657/10356/47025,CrossRef
Pressure broadening of vibrational Raman lines in N2 at temperatures below 300 K,"G.C. Herring, B.W. South",1994,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(94)90049-3,CrossRef
AIMUMETER: Neural network based aircraft take-off and landing distance measurement system with uncertainty measurement,Paweł Tomiło,2025,Measurement,10.1016/j.measurement.2025.117341,CrossRef
Medical laboratories � Practical guidance for the estimation of measurement uncertainty,,,,10.3403/30381286,CrossRef
Measurement uncertainties and physics,Masatoshi Kajita,2019,"Measurement, Uncertainty and Lasers",10.1088/2053-2563/ab0373ch6,CrossRef
Measurement Uncertainty and Probability,Robin Willink,2013,,10.1017/cbo9781139135085,CrossRef
Measurement Systems: Design-Stage Uncertainty,,2014,Measurement and Data Analysis for Engineering and Science,10.1201/b16918-11,CrossRef
Determining signal entropy in uncertainty space,R. Craig Herndon,2021,Measurement,10.1016/j.measurement.2021.109336,CrossRef
Nuclear materials measurement uncertainty calculations.,"R. Doerr, J. Jordan",1973,,10.2172/4580638,CrossRef
Analytical estimation of coordinate measurement uncertainty,"Władysław Jakubiec, Wojciech Płowucha, Marcin Starczak",2012,Measurement,10.1016/j.measurement.2011.09.027,CrossRef
Index to chapters 2-6,,,Evaluating the Measurement Uncertainty,10.1887/0750308400/b1099b4,CrossRef
Measurement Uncertainty,,2008,The Annals of Occupational Hygiene,10.1093/annhyg/men034,CrossRef
Measurement uncertainty evaluation of optical multi-sensor-measurements,"Johannes Bernstein, Albert Weckenmann",2012,Measurement,10.1016/j.measurement.2011.10.032,CrossRef
Sample size determination with uncertainty in measurement,King Pan Chan,,,10.14711/thesis-b688792,CrossRef
